Expansion	Name				types				cost	actions	cards	coins	buys	special	potion	debt
Dominion	Adventurer			Action				6	0	0	0	0	1	0	0
Dominion	Bureaucrat			Action, Attack			4	0	0	0	0	1	0	0
Dominion	Cellar				Action				2	1	0	0	0	1	0	0
Dominion	Chancellor			Action				3	0	0	2	0	1	0	0	
Dominion	Chapel				Action				2	0	0	0	0	1	0	0
Dominion	Council Room			Action				5	0	4	0	1	1	0	0
Dominion	Feast				Action				4	0	0	0	0	1	0	0
Dominion	Festival			Action				5	2	0	2	1	0	0	0
Dominion	Laboratory			Action				5	1	2	0	0	0	0	0
Dominion	Market				Action				5	1	1	1	1	0	0	0
Dominion	Militia				Action, Attack			3	0	0	2	0	1	0	0
Dominion	Mine				Action				5	0	0	0	0	1	0	0
Dominion	Moat				Action, Reaction		2	0	2	0	0	1	0	0
Dominion	Moneylender			Action				4	0	0	3	0	1	0	0
Dominion	Remodel				Action				4	0	0	0	0	1	0	0
Dominion	Smithy				Action				4	0	3	0	0	0	0	0
Dominion	Spy				Action, Attack			4	1	1	0	0	1	0	0
Dominion	Thief				Action, Attack			4	0	0	0	0	1	0	0
Dominion	Throne Room			Action				4	0	0	0	0	1	0	0
Dominion	Village				Action				3	2	1	0	0	0	0	0
Dominion	Witch				Action, Attack			5	0	2	0	0	1	0	0
Dominion	Woodcutter			Action				3	0	0	2	1	0	0	0
Dominion	Workshop			Action				3	0	0	0	0	1	0	0
Dominion	Gardens				Victory				4	0	0	0	0	1	0	0
Intrigue	Baron				Action				4	0	0	0	1	1	0	0
Intrigue	Bridge				Action				4	0	0	1	1	1	0	0
Intrigue	Conspirator			Action				4	0	0	2	0	1	0	0
Intrigue	Courtier			Action				5	0	0	0	0	1	0	0
Intrigue	Courtyard			Action				2	0	3	0	0	1	0	0
Intrigue	Diplomat			Action, Reaction		4	0	2	0	0	1	0	0
Intrigue	Ironworks			Action				4	0	0	0	0	1	0	0
Intrigue	Lurker				Action				2	1	0	0	0	1	0	0
Intrigue	Masquerade			Action				3	0	2	0	0	1	0	0
Intrigue	Mill				Action, Victory			4	1	1	0	0	1	0	0
Intrigue	Mining Village			Action				4	2	1	0	0	1	0	0
Intrigue	Minion				Action, Attack			5	1	0	0	0	1	0	0
Intrigue	Patrol				Action				5	0	3	0	0	1	0	0
Intrigue	Pawn				Action				2	0	0	0	0	1	0	0
Intrigue	Replace				Action, Attack			5	0	0	0	0	1	0	0
Intrigue	Secret Passage			Action				4	1	2	0	0	1	0	0
Intrigue	Shanty Town			Action				3	2	0	0	0	1	0	0
Intrigue	Steward				Action				3	0	0	0	0	1	0	0
Intrigue	Swindler			Action, Attack			3	0	0	2	0	1	0	0
Intrigue	Torturer			Action, Attack			5	0	3	0	0	1	0	0
Intrigue	Trading Post			Action				5	0	0	0	0	1	0	0
Intrigue	Upgrade				Action				5	1	1	0	0	1	0	0
Intrigue	Wishing Well			Action				3	1	1	0	0	1	0	0
Intrigue	Nobles				Action, Victory			6	0	0	0	0	1	0	0
Intrigue	Harem				Treasure, Victory		6	0	0	2	0	0	0	0
Intrigue	Duke				Victory				5	0	0	0	0	1	0	0
Dark Ages	Altar				Action				6	0	0	0	0	1	0	0
Dark Ages	Armory				Action				4	0	0	0	0	1	0	0
